arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
tornado/test/http1connection_test.py,4,1.0,1,4,A,HTTP1ConnectionTest,setUp,14
tornado/test/import_test.py,3,1.0,1,3,A,ImportTest,test_import_everything,45
tornado/test/testing_test.py,37,1.11,2,41,A,,set_environ,19
tornado/test/template_test.py,53,1.15,2,61,A,StackTraceTest,test_error_line_number_expression,186
tornado/test/ioloop_test.py,94,1.16,2,109,A,TestIOLoop,test_add_callback_while_closing,138
tornado/test/httpserver_test.py,134,1.16,4,156,A,HTTPServerTest,test_post_encodings,395
tornado/test/routing_test.py,24,1.17,2,28,A,GetResource,get,64
tornado/test/concurrent_test.py,20,1.2,3,24,A,BaseCapClient,process_response,100
tornado/test/tcpclient_test.py,46,1.2,3,55,A,TCPClientTest,skipIfLocalhostV4,75
tornado/test/web_test.py,310,1.2,9,373,B,EchoHandler,get,576
tornado/test/util_test.py,36,1.22,6,44,B,VersionInfoTest,assert_version_info_compatible,316
tornado/test/simple_httpclient_test.py,100,1.24,4,124,A,SimpleHTTPClientTestMixin,test_connection_refused,386
tornado/test/websocket_test.py,101,1.24,3,125,A,EchoHandler,on_message,68
tornado/test/gen_test.py,149,1.27,10,189,B,WaitIteratorTest,test_already_done,795
tornado/test/locks_test.py,48,1.27,3,61,A,ConditionTest,test_nested_notify,161
tornado/test/options_test.py,30,1.27,3,38,A,Email,__init__,13
tornado/test/asyncio_test.py,30,1.3,3,39,A,LeakTest,tearDown,123
tornado/platform/twisted.py,3,1.33,2,4,A,,errback,54
tornado/test/httputil_test.py,60,1.35,5,81,A,HTTPHeadersTest,test_forbidden_ascii_characters,377
tornado/test/locale_test.py,11,1.36,2,15,A,TranslationLoaderTest,setUp,19
tornado/test/log_test.py,22,1.41,3,31,A,EnablePrettyLoggingTest,test_log_file,128
tornado/test/httpclient_test.py,94,1.44,6,135,B,HTTPClientCommonTestCase,test_method_after_redirect,358
tornado/test/iostream_test.py,97,1.45,5,141,A,,consume,728
tornado/test/netutil_test.py,17,1.47,3,25,A,ThreadedResolverImportTest,test_import,138
tornado/test/twisted_test.py,4,1.5,2,6,A,,fn,47
tornado/test/process_test.py,10,1.5,4,15,A,SubprocessTest,test_sigchild_signal,241
tornado/test/wsgi_test.py,15,1.53,3,23,A,WSGIAppMixin,barrier_wsgi_app,42
tornado/test/escape_test.py,11,1.55,2,17,A,EscapeTestCase,test_linkify,214
tornado/test/curl_httpclient_test.py,25,1.56,12,39,C,DigestAuthHandler,get,36
tornado/test/queues_test.py,36,1.56,3,56,A,QueueBasicTest,test_repr_and_str,24
tornado/test/util.py,5,1.6,4,8,A,,_detect_ipv6,39
tornado/test/auth_test.py,57,1.68,9,96,B,TwitterServerShowUserHandler,get,252
tornado/locks.py,35,1.77,5,62,A,Condition,notify,137
tornado/queues.py,30,1.8,5,54,A,Queue,_consume_expired,318
tornado/httpserver.py,23,1.83,7,42,B,_HTTPRequestContext,__init__,294
tornado/ioloop.py,55,1.85,7,102,B,IOLoop,run_sync,455
tornado/test/tcpserver_test.py,10,1.9,5,19,A,TCPServerTest,test_stop_in_callback,71
tornado/test/circlerefs_test.py,11,1.91,6,21,B,,assert_no_cycle_garbage,64
tornado/util.py,27,1.93,4,52,A,Configurable,__new__,235
tornado/concurrent.py,14,2.0,5,28,A,,run_on_executor,74
tornado/__init__.py,1,2.0,2,2,A,,__getattr__,64
tornado/test/runtests.py,9,2.0,7,18,B,,main,125
tornado/httpclient.py,39,2.1,9,82,B,HTTPResponse,__init__,833
tornado/websocket.py,152,2.13,12,324,C,WebSocketProtocol13,_accept_connection,1073
tornado/platform/asyncio.py,50,2.26,11,113,C,SelectorThread,_run_select,594
tornado/escape.py,25,2.44,10,61,B,,_shorten_url,356
tornado/routing.py,37,2.46,9,91,B,PathMatches,_find_groups,613
tornado/tcpserver.py,14,2.57,10,36,B,TCPServer,_handle_connection,365
tornado/template.py,90,2.58,17,232,C,,_process_simple_directives,957
tornado/testing.py,40,2.62,10,105,B,,main,777
tornado/test/autoreload_test.py,8,2.62,6,21,B,AutoreloadTest,run_subprocess,69
tornado/web.py,236,2.71,18,640,C,RequestHandler,set_cookie,839
tornado/tcpclient.py,18,2.89,10,52,B,TCPClient,_create_stream,306
tornado/gen.py,35,2.91,12,102,C,Runner,run,750
tornado/options.py,39,2.92,13,114,C,OptionParser,print_help,432
tornado/simple_httpclient.py,86,3.01,18,259,C,_HTTPConnection,_handle_redirect,1212
tornado/httputil.py,63,3.02,13,190,C,,parse_multipart_form_data,1228
tornado/curl_httpclient.py,45,3.04,9,137,B,CurlAsyncHTTPClient,_setup_curl_proxy,443
tornado/iostream.py,94,3.13,14,294,C,BaseIOStream,_handle_events,773
tornado/netutil.py,29,3.24,12,94,C,,ssl_options_to_context,665
tornado/http1connection.py,74,3.43,22,254,D,HTTP1Connection,_read_message,450
tornado/auth.py,32,3.66,14,117,C,OpenIdMixin,_on_authentication_verified,227
tornado/process.py,14,3.79,14,53,C,,fork_processes,78
tornado/wsgi.py,8,3.88,12,31,C,WSGIContainer,handle_request,134
tornado/locale.py,23,3.91,15,90,C,Locale,_determine_format,343
tornado/platform/caresresolver.py,4,4.25,8,17,B,CaresResolver,resolve,62
tornado/autoreload.py,13,4.62,14,60,C,,main,388
tornado/log.py,6,6.67,11,40,C,,enable_pretty_logging,216
