arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
tornado/curl_httpclient.py,function,,seek,A,1,557,559
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,fetch_impl,A,1,86,91
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,handle_callback_exception,A,1,288,289
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_create,A,1,291,292
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_request,A,1,294,311
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_debug_and_url,A,1,313,316
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_setup_curl_url_and_headers,A,1,329,336
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_write_function,A,1,376,379
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_connection_options,A,1,406,409
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_proxy,A,1,440,441
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_ssl_verify,A,1,470,473
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_method,A,1,497,498
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_body,A,1,521,523
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_auth,A,1,569,570
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_client_cert,A,1,597,600
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_misc,A,1,613,614
tornado/curl_httpclient.py,method,CurlAsyncHTTPClient,_curl_setup_request,A,1,633,659
tornado/curl_httpclient.py,method,CurlError,__init__,A,1,700,702
tornado/locks.py,method,_TimeoutGarbageCollector,__init__,A,1,37,39
tornado/locks.py,method,Condition,notify_all,A,1,149,151
tornado/locks.py,method,Event,__init__,A,1,194,196
tornado/locks.py,method,Event,is_set,A,1,204,206
tornado/locks.py,method,Event,clear,A,1,220,225
tornado/locks.py,method,_ReleasingContextManager,__init__,A,1,263,264
tornado/locks.py,method,_ReleasingContextManager,__enter__,A,1,266,267
tornado/locks.py,method,_ReleasingContextManager,__exit__,A,1,269,275
tornado/locks.py,method,Semaphore,__enter__,A,1,438,439
tornado/locks.py,method,Semaphore,__exit__,A,1,441,447
tornado/locks.py,method,Semaphore,__aenter__,A,1,449,450
tornado/locks.py,method,Semaphore,__aexit__,A,1,452,458
tornado/locks.py,method,BoundedSemaphore,__init__,A,1,470,472
tornado/locks.py,method,Lock,__init__,A,1,518,519
tornado/locks.py,method,Lock,__repr__,A,1,521,522
tornado/locks.py,method,Lock,acquire,A,1,524,532
tornado/locks.py,method,Lock,__enter__,A,1,546,547
tornado/locks.py,method,Lock,__exit__,A,1,549,555
tornado/locks.py,method,Lock,__aenter__,A,1,557,558
tornado/locks.py,method,Lock,__aexit__,A,1,560,566
tornado/util.py,function,,re_unescape,A,1,185,194
tornado/util.py,function,,timedelta_to_seconds,A,1,397,399
tornado/util.py,function,,doctests,A,1,433,436
tornado/util.py,method,ObjectDict,__setattr__,A,1,57,58
tornado/util.py,method,GzipDecompressor,__init__,A,1,68,72
tornado/util.py,method,GzipDecompressor,decompress,A,1,74,85
tornado/util.py,method,GzipDecompressor,unconsumed_tail,A,1,88,90
tornado/util.py,method,GzipDecompressor,flush,A,1,92,98
tornado/util.py,method,Configurable,configurable_base,A,1,256,264
tornado/util.py,method,Configurable,configurable_default,A,1,267,269
tornado/util.py,method,Configurable,_initialize,A,1,271,272
tornado/util.py,method,Configurable,_save_configuration,A,1,315,319
tornado/util.py,method,Configurable,_restore_configuration,A,1,322,327
tornado/auth.py,method,OpenIdMixin,__init__,A,1,106,110
tornado/auth.py,method,OpenIdMixin,get_auth_http_client,A,1,289,295
tornado/auth.py,method,OAuthMixin,_oauth_consumer_token,A,1,489,494
tornado/auth.py,method,OAuthMixin,_oauth_get_user_future,A,1,496,518
tornado/auth.py,method,OAuthMixin,get_auth_http_client,A,1,555,561
tornado/auth.py,method,OAuth2Mixin,get_auth_http_client,A,1,692,700
tornado/auth.py,method,TwitterMixin,authenticate_redirect,A,1,746,766
tornado/auth.py,method,TwitterMixin,_oauth_consumer_token,A,1,840,846
tornado/auth.py,method,GoogleOAuth2Mixin,get_google_oauth_settings,A,1,890,904
tornado/auth.py,method,FacebookGraphMixin,facebook_request,A,1,1103,1159
tornado/template.py,function,,_handle_import_from,A,1,1189,1191
tornado/template.py,function,,_handle_whitespace,A,1,1217,1222
tornado/template.py,function,,_handle_raw,A,1,1225,1227
tornado/template.py,function,,_handle_module,A,1,1230,1232
tornado/template.py,method,Template,generate,A,1,334,359
tornado/template.py,method,BaseLoader,reset,A,1,429,432
tornado/template.py,method,BaseLoader,resolve_path,A,1,434,436
tornado/template.py,method,BaseLoader,_create_template,A,1,446,447
tornado/template.py,method,Loader,__init__,A,1,453,455
tornado/template.py,method,Loader,_create_template,A,1,471,475
tornado/template.py,method,DictLoader,__init__,A,1,481,483
tornado/template.py,method,DictLoader,_create_template,A,1,496,497
tornado/template.py,method,_Node,each_child,A,1,501,502
tornado/template.py,method,_Node,generate,A,1,504,505
tornado/template.py,method,_File,__init__,A,1,515,518
tornado/template.py,method,_File,generate,A,1,520,526
tornado/template.py,method,_File,each_child,A,1,528,529
tornado/template.py,method,_ChunkList,__init__,A,1,533,534
tornado/template.py,method,_ChunkList,each_child,A,1,540,541
tornado/template.py,method,_NamedBlock,__init__,A,1,545,549
tornado/template.py,method,_NamedBlock,each_child,A,1,551,552
tornado/template.py,method,_NamedBlock,generate,A,1,554,557
tornado/template.py,method,_NamedBlock,find_named_blocks,A,1,559,563
tornado/template.py,method,_ExtendsBlock,__init__,A,1,567,568
tornado/template.py,method,_IncludeBlock,__init__,A,1,572,575
tornado/template.py,method,_ApplyBlock,__init__,A,1,592,595
tornado/template.py,method,_ApplyBlock,each_child,A,1,597,598
tornado/template.py,method,_ApplyBlock,generate,A,1,600,610
tornado/template.py,method,_ControlBlock,__init__,A,1,615,618
tornado/template.py,method,_ControlBlock,each_child,A,1,620,621
tornado/template.py,method,_ControlBlock,generate,A,1,623,628
tornado/template.py,method,_IntermediateControlBlock,__init__,A,1,632,634
tornado/template.py,method,_IntermediateControlBlock,generate,A,1,636,639
tornado/template.py,method,_Statement,__init__,A,1,643,645
tornado/template.py,method,_Statement,generate,A,1,647,648
tornado/template.py,method,_Expression,__init__,A,1,652,655
tornado/template.py,method,_Module,__init__,A,1,675,676
tornado/template.py,method,_Text,__init__,A,1,680,683
tornado/template.py,method,ParseError,__init__,A,1,707,714
tornado/template.py,method,ParseError,__str__,A,1,716,717
tornado/template.py,method,_CodeWriter,__init__,A,1,721,734
tornado/template.py,method,_CodeWriter,indent_size,A,1,736,737
tornado/template.py,method,_CodeWriter,indent,A,1,739,749
tornado/template.py,method,_CodeWriter,include,A,1,751,762
tornado/template.py,method,_TemplateReader,__init__,A,1,779,784
tornado/template.py,method,_TemplateReader,remaining,A,1,809,810
tornado/template.py,method,_TemplateReader,__len__,A,1,812,813
tornado/template.py,method,_TemplateReader,__str__,A,1,831,832
tornado/template.py,method,_TemplateReader,raise_parse_error,A,1,834,835
tornado/concurrent.py,function,,run_on_executor_decorator,A,1,117,127
tornado/concurrent.py,function,,wrapper,A,1,121,125
tornado/concurrent.py,function,,is_future,A,1,52,53
tornado/concurrent.py,function,,future_add_done_callback,A,1,237,240
tornado/concurrent.py,function,,future_add_done_callback,A,1,244,247
tornado/concurrent.py,method,DummyExecutor,shutdown,A,1,67,68
tornado/web.py,function,,format_field,A,1,4043,4044
tornado/web.py,function,,removeslash,A,1,2338,2364
tornado/web.py,function,,addslash,A,1,2367,2391
tornado/web.py,function,,authenticated,A,1,3804,3838
tornado/web.py,function,,_decode_fields_v2,A,1,4164,4181
tornado/web.py,function,,_create_signature_v2,A,1,4244,4247
tornado/web.py,method,_ResponseState,__init__,A,1,181,195
tornado/web.py,method,_ResponseState,clear,A,1,197,208
tornado/web.py,method,_RequestState,__init__,A,1,228,241
tornado/web.py,method,RequestHandler,_initialize,A,1,309,310
tornado/web.py,method,RequestHandler,settings,A,1,333,335
tornado/web.py,method,RequestHandler,_unimplemented_method,A,1,337,338
tornado/web.py,method,RequestHandler,prepare,A,1,348,363
tornado/web.py,method,RequestHandler,on_finish,A,1,365,377
tornado/web.py,method,RequestHandler,clear,A,1,398,401
tornado/web.py,method,RequestHandler,set_default_headers,A,1,403,411
tornado/web.py,method,RequestHandler,_headers,A,1,418,420
tornado/web.py,method,RequestHandler,_headers,A,1,423,425
tornado/web.py,method,RequestHandler,_write_buffer,A,1,428,430
tornado/web.py,method,RequestHandler,_write_buffer,A,1,433,435
