arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
tornado/curl_httpclient.py,funcao,initialize,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
tornado/curl_httpclient.py,funcao,close,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
tornado/curl_httpclient.py,funcao,fetch_impl,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_handle_socket,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
tornado/curl_httpclient.py,funcao,_set_timeout,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
tornado/curl_httpclient.py,funcao,_handle_events,3,8,5,10,11,15,28.7549,51.8915,1.875,97.2965,5.4054,0.0173
tornado/curl_httpclient.py,funcao,_handle_timeout,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
tornado/curl_httpclient.py,funcao,_finish_pending_requests,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
tornado/curl_httpclient.py,funcao,_process_queue,3,4,3,5,7,8,12.7549,22.4588,1.875,42.1103,2.3395,0.0075
tornado/curl_httpclient.py,funcao,_finish,3,8,5,10,11,15,28.7549,51.8915,1.875,97.2965,5.4054,0.0173
tornado/curl_httpclient.py,funcao,handle_callback_exception,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_curl_create,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_curl_setup_request,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_curl_setup_debug_and_url,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_logging,1,2,2,4,3,6,2.0,9.5098,1.0,9.5098,0.5283,0.0032
tornado/curl_httpclient.py,funcao,_setup_curl_url_and_headers,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_curl_setup_headers,2,7,4,8,9,12,21.6515,38.0391,1.1429,43.4733,2.4152,0.0127
tornado/curl_httpclient.py,funcao,_curl_setup_write_function,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_write_function,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
tornado/curl_httpclient.py,funcao,_curl_setup_connection_options,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_redirect_and_timeout,2,4,4,8,6,12,10.0,31.0196,2.0,62.0391,3.4466,0.0103
tornado/curl_httpclient.py,funcao,_setup_curl_user_agent_and_interface,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_encoding,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_curl_setup_proxy,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_proxy,6,10,7,14,16,21,48.7291,84.0,4.2,352.8,19.6,0.028
tornado/curl_httpclient.py,funcao,_curl_setup_ssl_verify,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_ssl_verification,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
tornado/curl_httpclient.py,funcao,_setup_curl_ipv6,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
tornado/curl_httpclient.py,funcao,_curl_setup_method,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_http_method,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
tornado/curl_httpclient.py,funcao,_curl_setup_body,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_validate_request_body,6,13,9,15,19,24,63.6155,101.9503,3.4615,352.9047,19.6058,0.034
tornado/curl_httpclient.py,funcao,_setup_curl_request_body,4,9,8,16,13,24,36.5293,88.8106,3.5556,315.7709,17.5428,0.0296
tornado/curl_httpclient.py,funcao,_curl_setup_auth,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_auth,5,9,7,14,14,21,40.139,79.9545,3.8889,310.934,17.2741,0.0267
tornado/curl_httpclient.py,funcao,_curl_setup_client_cert,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_client_cert,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
tornado/curl_httpclient.py,funcao,_curl_setup_misc,0,0,0,0,0,0,0,0,0,0,0,0
tornado/curl_httpclient.py,funcao,_setup_curl_threading_and_callback,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
tornado/curl_httpclient.py,funcao,_curl_header_callback,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
tornado/curl_httpclient.py,funcao,_curl_debug,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
tornado/curl_httpclient.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
tornado/log.py,funcao,_stderr_supports_color,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
tornado/log.py,funcao,_safe_unicode,0,0,0,0,0,0,0,0,0,0,0,0
