arquivo,mi,rank_mi
tornado/web.py,0.0,C
tornado/test/web_test.py,0.0,C
tornado/iostream.py,4.1753,C
tornado/websocket.py,4.9687,C
tornado/test/httpserver_test.py,11.1473,B
tornado/test/gen_test.py,17.2988,B
tornado/http1connection.py,17.8503,B
tornado/test/iostream_test.py,19.339,A
tornado/test/websocket_test.py,19.8077,A
tornado/simple_httpclient.py,21.0484,A
tornado/httputil.py,21.4554,A
tornado/test/simple_httpclient_test.py,21.6419,A
tornado/template.py,22.7987,A
tornado/test/httpclient_test.py,26.9667,A
tornado/test/auth_test.py,27.735,A
tornado/ioloop.py,33.1906,A
tornado/curl_httpclient.py,33.6012,A
tornado/test/ioloop_test.py,33.6715,A
tornado/auth.py,34.5722,A
tornado/test/httputil_test.py,36.5139,A
tornado/testing.py,38.2631,A
tornado/options.py,38.6193,A
tornado/platform/asyncio.py,38.9936,A
tornado/test/template_test.py,39.8005,A
tornado/locale.py,41.3561,A
tornado/test/locks_test.py,43.1102,A
tornado/routing.py,43.4481,A
tornado/netutil.py,43.4986,A
tornado/gen.py,43.8572,A
tornado/test/queues_test.py,44.5484,A
tornado/httpclient.py,44.5716,A
tornado/test/curl_httpclient_test.py,44.6739,A
tornado/test/tcpclient_test.py,45.1223,A
tornado/locks.py,47.1484,A
tornado/test/routing_test.py,48.1135,A
tornado/test/options_test.py,50.9822,A
tornado/test/locale_test.py,51.6991,A
tornado/util.py,51.8433,A
tornado/queues.py,52.2353,A
tornado/test/testing_test.py,52.6851,A
tornado/test/netutil_test.py,52.7982,A
tornado/test/concurrent_test.py,54.1275,A
tornado/process.py,54.166,A
tornado/tcpclient.py,54.2827,A
tornado/autoreload.py,54.4845,A
tornado/escape.py,55.6466,A
tornado/test/util_test.py,56.5653,A
tornado/test/log_test.py,57.3174,A
tornado/test/wsgi_test.py,58.808,A
tornado/test/tcpserver_test.py,59.1955,A
tornado/tcpserver.py,59.261,A
tornado/log.py,59.3052,A
tornado/test/runtests.py,59.3629,A
tornado/test/process_test.py,60.1491,A
tornado/httpserver.py,60.6194,A
tornado/test/circlerefs_test.py,61.9779,A
tornado/test/autoreload_test.py,62.7323,A
tornado/wsgi.py,62.7478,A
tornado/test/asyncio_test.py,62.8061,A
tornado/test/escape_test.py,65.2473,A
tornado/concurrent.py,67.7529,A
tornado/platform/caresresolver.py,68.7404,A
tornado/test/http1connection_test.py,70.8198,A
tornado/test/util.py,74.0119,A
tornado/test/twisted_test.py,81.3535,A
tornado/__init__.py,97.6808,A
tornado/_locale_data.py,100.0,A
tornado/platform/__init__.py,100.0,A
tornado/platform/twisted.py,100.0,A
tornado/test/resolve_test_helper.py,100.0,A
tornado/test/__init__.py,100.0,A
tornado/test/__main__.py,100.0,A
tornado/test/import_test.py,100.0,A
tornado/test/gettext_translations/extract_me.py,100.0,A
