arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
tornado/platform/__init__.py,0,0,0,0,0,0,0
tornado/test/__init__.py,0,0,0,0,0,0,0
tornado/test/__main__.py,10,4,3,3,0,3,4
tornado/test/resolve_test_helper.py,10,5,4,4,0,2,4
tornado/test/gettext_translations/extract_me.py,15,5,5,14,0,1,9
tornado/platform/twisted.py,63,24,21,15,13,16,13
tornado/__init__.py,67,10,38,21,0,7,22
tornado/test/twisted_test.py,70,38,38,22,0,12,20
tornado/test/http1connection_test.py,60,46,45,2,0,13,2
tornado/test/import_test.py,68,20,49,6,0,13,6
tornado/_locale_data.py,80,3,64,13,0,2,14
tornado/platform/caresresolver.py,93,60,65,2,15,12,1
tornado/test/util.py,132,63,68,20,21,27,16
tornado/test/wsgi_test.py,115,74,92,3,0,20,3
tornado/concurrent.py,266,94,103,21,73,72,18
tornado/test/locale_test.py,159,91,133,5,0,21,5
tornado/wsgi.py,266,106,143,22,65,38,20
tornado/test/circlerefs_test.py,216,152,146,23,13,33,24
tornado/escape.py,399,149,152,54,103,95,49
tornado/tcpserver.py,383,101,152,30,138,61,32
tornado/queues.py,418,169,155,20,139,102,22
tornado/test/netutil_test.py,213,143,157,20,0,37,19
tornado/autoreload.py,350,166,166,86,49,50,85
tornado/test/concurrent_test.py,231,168,167,20,0,44,20
tornado/test/log_test.py,233,150,167,36,0,29,37
tornado/test/runtests.py,222,96,167,26,0,32,23
tornado/test/tcpserver_test.py,220,115,174,17,0,30,16
tornado/test/autoreload_test.py,264,87,188,36,4,36,36
tornado/test/asyncio_test.py,298,167,188,66,6,43,61
tornado/test/curl_httpclient_test.py,239,139,189,11,0,40,10
tornado/util.py,436,206,193,44,108,89,46
tornado/httpserver.py,405,135,193,41,105,67,40
tornado/locks.py,566,183,194,25,210,134,28
tornado/process.py,362,195,197,36,75,57,33
tornado/test/routing_test.py,276,149,198,11,0,67,11
tornado/log.py,344,127,204,52,52,45,43
tornado/tcpclient.py,323,157,209,34,42,37,35
tornado/test/testing_test.py,341,226,231,30,11,71,28
tornado/test/process_test.py,296,110,234,27,0,36,26
tornado/test/options_test.py,323,230,258,20,0,45,20
tornado/test/util_test.py,368,232,259,36,0,73,36
tornado/netutil.py,670,253,297,115,147,114,112
tornado/test/escape_test.py,323,64,297,35,0,15,11
tornado/routing.py,722,260,299,29,225,162,36
tornado/test/tcpclient_test.py,430,316,331,41,0,56,43
tornado/test/queues_test.py,431,364,340,39,0,64,27
tornado/httpclient.py,788,271,344,35,287,124,33
tornado/ioloop.py,978,341,351,101,337,185,105
tornado/locale.py,588,268,354,29,114,87,33
tornado/options.py,733,291,371,26,195,138,29
tornado/test/locks_test.py,534,372,371,65,5,97,61
tornado/testing.py,863,320,375,82,257,154,77
tornado/gen.py,887,375,406,69,244,177,60
tornado/test/template_test.py,502,257,409,24,0,71,22
tornado/curl_httpclient.py,571,322,416,102,9,51,95
tornado/platform/asyncio.py,748,362,419,117,95,125,109
tornado/test/auth_test.py,629,333,513,34,0,87,29
tornado/test/httputil_test.py,737,386,554,93,11,93,79
tornado/test/ioloop_test.py,807,537,568,95,10,140,89
tornado/simple_httpclient.py,732,399,569,56,51,65,47
tornado/template.py,1042,524,603,65,189,182,68
tornado/httputil.py,1372,599,604,142,360,261,147
tornado/http1connection.py,898,505,622,119,82,78,116
tornado/auth.py,1244,425,655,36,370,191,28
tornado/test/simple_httpclient_test.py,885,555,668,68,0,155,62
tornado/test/httpclient_test.py,1009,578,724,145,0,152,133
tornado/test/websocket_test.py,996,607,743,72,4,184,65
tornado/test/gen_test.py,1111,789,830,82,0,203,78
tornado/iostream.py,1608,824,839,222,337,218,214
tornado/websocket.py,1720,839,987,105,343,287,103
tornado/test/iostream_test.py,1419,950,1026,199,9,187,197
tornado/test/httpserver_test.py,1511,889,1179,84,13,238,81
tornado/web.py,3803,1666,1953,270,959,635,256
tornado/test/web_test.py,3440,2054,2657,218,14,571,198
TOTAL,43931,22290,27083,3988,5909,7159,3780
